user_id,user_name,timestamp,tweet_text,likes,retweets,replies,tweet_url,tweet_id
anihanuchaudhry,Anam Chaudhary,2021-03-25T12:46:17.000Z,"Amazing SUV. Scores high marks across all the parameters. We drove all the vehicles in its class and even one class above but this is the best in overall experience.
EIJAZ KHAN X TATA SAFARI",4,24,0,https://x.com/anihanuchaudhry/status/1375066506346778629,1375066506346778629
Ashokautosales,Ashok Auto,2021-02-25T10:22:32.000Z,"Dear Friends 
We would like to invite you to the launch of #safari on Friday 26 Feb. 2021 from 11:30 am onwards at ASHOK AUTO SALES, Ashok Cosmos Mall Sanjay Place, Agra.
By Hon'ble S.P.S Baghel, MP Agra.
Experience the Bigger Bolder SUV of TATA MOTORS amidst fun, frolic.",0,0,0,https://x.com/Ashokautosales/status/1364883470942576643,1364883470942576643
TataMotors_Cars,Tata Motors Cars,2021-01-28T11:50:54.000Z,"Experience unmatched Power & Performance only with the Iconic SUV - Tata Safari. Know more - 
bit.ly/AllNewSafari

#TataSafari #TataMotors #Safari",21,6,0,https://x.com/TataMotors_Cars/status/1354758848414793730,1354758848414793730
TataMotors_Cars,Tata Motors Cars,2021-01-28T06:19:34.000Z,"Experience the world in its full glory with the best-in-segment Majestic Skydome of the TATA SAFARI! #ReclaimYourLife. Know more - 
bit.ly/AllNewSafari
.
.
#TataSafari #Safari #TataMotors",17,2,1,https://x.com/TataMotors_Cars/status/1354675464317652994,1354675464317652994
CarWale,CarWale,2015-12-31T08:17:05.000Z,"We took this rugged SUV 
@TataMotors
 #storme on a drive and we share our experience with you: 
bit.ly/TataSafariStor
…",4,1,1,https://x.com/CarWale/status/682475550875742208,682475550875742208
Ankitg18,Ankit Gupta,2015-03-12T09:26:05.000Z,"@Tata_Safari
 #TheRealSUV The real SUV gives the feel,power,punch,movement,twist while driving the exhilarating experience that no other can",0,0,0,https://x.com/Ankitg18/status/575950880190525440,575950880190525440
AdityaJ76,Aditya Jha,2014-05-29T04:59:57.000Z,"with Safari SUV - every travel is worth the exploring and every experience is worth cherishing 
@Tata_Safari
 #SafariTrails",0,0,0,https://x.com/AdityaJ76/status/471878589810343936,471878589810343936
__shek,Abhishek,2014-04-17T11:15:34.000Z,"@Tata_Safari
 

A2) Mighty hills + one Powerful and capable SUV like the 
@Tata_Safari
 = experience of a life time 

#SafariTrails",0,0,0,https://x.com/__shek/status/456752825465602049,456752825465602049
ThipseAmol,Amol Thipse,2013-10-25T17:20:52.000Z,"@Tata_Safari
 : fantastic experience of owning a safari storm....this is really good SUV.....",0,0,0,https://x.com/ThipseAmol/status/393789270353121280,393789270353121280
Tata_Safari,Tata Safari,2013-10-25T07:27:28.000Z,"The first drive in The Real SUV will always be an experience to remember. Book your test drive now. 
goo.gl/jVLefH",0,1,0,https://x.com/Tata_Safari/status/393639934856155136,393639934856155136
Tata_Safari,Tata Safari,2013-09-17T06:15:27.000Z,"Feel the monstrous 2.2L VariCOR roar as u put pedal to floor & experience joy of driving The Real SUV. Test drive now 
goo.gl/ucSYLJ",1,2,0,https://x.com/Tata_Safari/status/379851071591436288,379851071591436288
VirendraPandey_,Virendra Pandey,2013-09-13T06:50:17.000Z,"@Tata_Safari
 With Safari Storme experience the thrill of Real SUV .",1,0,0,https://x.com/VirendraPandey_/status/378410287541415936,378410287541415936
vishvaisakhi,Vaisakhi Mishra,2013-06-01T18:36:01.000Z,"a test drive of Tata Safari Strom #XtremeDrive awesome experience, amazing car.Truly the real SUV! Thanx a ton 
@indiblogger
 n 
@tata_safari",0,0,0,https://x.com/vishvaisakhi/status/340899553718988800,340899553718988800
Tata_Safari,Tata Safari,2013-06-01T15:07:20.000Z,".
@SamirSaxena
 Glad you had a great experience of the Real SUV! #SafariStorme #XtremeDrive",0,0,0,https://x.com/Tata_Safari/status/340847033302781952,340847033302781952
Tata_Safari,Tata Safari,2013-05-25T06:27:57.000Z,"Driving the real SUV is a joy by those who drive & experience it; whn r u taking  a test drive?
goo.gl/2EGC2",0,0,0,https://x.com/Tata_Safari/status/338179613756899329,338179613756899329
Tata_Safari,Tata Safari,2012-11-27T10:39:53.000Z,"Experience the adventure of driving the Real SUV. Test drive the #TataSafariStorme today. 
tatasafari.com/static/test-dr
…",0,0,1,https://x.com/Tata_Safari/status/273375584288112641,273375584288112641
Tata_Safari,Tata Safari,2012-10-25T07:19:47.000Z,"Real Power, Real Luxury and Real Comfort - Experience all this and more only in The Real SUV #TataSafariStorme",0,1,2,https://x.com/Tata_Safari/status/261366426391154688,261366426391154688
